Acheron|(Greek mythology) a river in Hades across which the souls of the dead were carried by Charon
Quine|United States philosopher and logician who championed an empirical view of knowledge that depended on language (1908-2001)
Rabelais|author of satirical attacks on medieval scholasticism (1494-1553)
Rachel|(Old Testament) the second wife of Jacob and mother of Joseph and Benjamin
Rachmaninoff|composer and piano virtuoso born in Russia (1873-1943)
Racine|French advocate of Jansenism; tragedian who based his works on Greek and Roman themes (1639-1699)
Radhakrishnan|Indian philosopher and statesman who introduced Indian philosophy to the West (1888-1975)
Raffles|British colonial administrator who founded Singapore (1781-1826)
Rain-in-the-Face|a chief of the Sioux; he was with Sitting Bull and others at the Battle of Little Bighorn (1876) when General Custer's troops were massacred (1835-1905)
Raleigh|English courtier (a favorite of Elizabeth I) who tried to colonize Virginia; introduced potatoes and tobacco to England (1552-1618)
Rameau|French composer of operas whose writings laid the foundation for the modern theory of harmony (1683-1764)
Rameses|any of 12 kings of ancient Egypt between 1315 and 1090 BC
Rameses II|king of Egypt between 1304 and 1237 BC who built many monuments
Ramon y Cajal|Spanish histologist noted for his work on the structure of the nervous system (1852-1934)
Rand|United States writer (born in Russia) noted for her polemical novels and political conservativism (1905-1982)
Rankin|leader in the women's suffrage movement in Montana; the first woman to serve in the United States House of Representatives (1880-1973)
Raphael|Italian painter whose many paintings exemplify the ideals of the High Renaissance (1483-1520)
Rask|Danish philologist whose work on Old Norse pioneered in the field of comparative linguistics (1787-1832)
Rasmussen|Danish ethnologist and Arctic explorer; led expeditions into the Arctic to find support for his theory that Eskimos and North American Indians originally migrated from Asia (1879-1933)
Rasputin|Siberian peasant monk who was religious advisor in the court of Nicholas II; was assassinated by Russian noblemen who feared that his debauchery would weaken the monarchy (1872-1916)
Rattigan|British playwright (1911-1977)
Ravel|French composer and exponent of Impressionism (1875-1937)
Rayleigh|English physicist who studied the density of gases and discovered argon; made important contributions to acoustic theory (1842-1919)
Reagan|40th President of the United States (1911-2004)
Reaumur|French physicist who invented the alcohol thermometer (1683-1757)
Rebecca|(Old Testament) wife of Isaac and mother of Jacob and Esau
Red Cloud|leader of the Oglala who resisted the development of a trail through Wyoming and Montana by the United States government (1822-1909)
Redford|United States actor and filmmaker who starred with Paul Newman in several films (born in 1936)
Reed|United States physician who proved that yellow fever is transmitted by mosquitoes (1851-1902)
Reed|United States journalist who reported on the October Revolution from Petrograd in 1917; founded the Communist Labor Party in America in 1919; is buried in the Kremlin in Moscow (1887-1920)
Rehnquist|United States jurist who served as an associate justice on the United States Supreme Court from 1972 until 1986, when he was appointed chief justice (born in 1924)
Reich|United States composer (born in 1936)
Reich|Austrian born psychoanalyst who lived in the United States; advocated sexual freedom and believed that cosmic energy could be concentrated in a human being (1897-1957)
Reichstein|a Swiss chemist born in Poland; studied the hormones of the adrenal cortex
Reid|Scottish philosopher of common sense who opposed the ideas of David Hume (1710-1796)
Reiter|German bacteriologist who described a disease now known as Reiter's syndrome and who identified the spirochete that causes syphilis in humans (1881-1969)
Rembrandt|influential Dutch artist (1606-1669)
Renoir|French impressionist painter (1841-1919)
Respighi|Italian composer remembered for his symphonic poems (1879-1936)
Reuben|(Old Testment) a son of Jacob and forefather of one of the tribes of Israel
Revere|American silversmith remembered for his midnight ride (celebrated in a poem by Longfellow) to warn the colonists in Lexington and Concord that British troops were coming (1735-1818)
Reynolds|English portrait painter and first president of the Royal Academy (1723-1792)
Rhine|United States parapsychologist (1895-1980)
Rhodes|British colonial financier and statesman in South Africa; made a fortune in gold and diamond mining; helped colonize the territory now known as Zimbabwe; he endowed annual fellowships for British Commonwealth and United States students to study at Oxford University (1853-1902)
Ricardo|English economist who argued that the laws of supply and demand should operate in a free market (1772-1823)
Rice|United States playwright (1892-1967)
Rice|English lyricist who frequently worked with Andrew Lloyd Webber (born in 1944)
Richard I|son of Henry II and King of England from 1189 to 1199; a leader of the Third Crusade; on his way home from the crusade he was captured and held prisoner in the Holy Roman Empire until England ransomed him in 1194 (1157-1199)
Richard II|King of England from 1377 to 1399; he suppressed the Peasant's Revolt in 1381 but his reign was marked by popular discontent and baronial opposition in British Parliament and he was forced to abdicate in 1399 (1367-1400)
Richard III|King of England from 1483 to 1485; seized the throne from his nephew Edward V who was confined to the Tower of London and murdered; his reign ended when he was defeated by Henry Tudor (later Henry VII) at the battle of Bosworth Field (1452-1485)
Richards|English literary critic who collaborated with C. K. Ogden and contributed to the development of Basic English (1893-1979)
Richardson|British stage and screen actor noted for playing classic roles (1902-1983)
Richardson|United States architect (1838-1886)
Richelieu|French prelate and statesman; principal minister to Louis XIII (1585-1642)
Richler|Canadian novelist (born in 1931)
Rickenbacker|the most decorated United States combat pilot in World War I (1890-1973)
Rickover|United States admiral who advocated the development of nuclear submarines (1900-1986)
Riemann|pioneer of non-Euclidean geometry (1826-1866)
Riesman|United States sociologist (1909-2002)
Riley|United States poet (1849-1916)
Rilke|German poet (born in Austria) whose imagery and mystic lyricism influenced 20th-century German literature (1875-1926)
Rimbaud|French poet whose work influenced the surrealists (1854-1891)
Rimsky-Korsakov|Russian composer of operas and orchestral works; often used themes from folk music (1844-1908)
Ringling|United States showman whose song-and-dance troop evolved into a circus (1863-1926)
Rittenhouse|United States astronomer said to have built the first telescope made in America; also the first director of the United States Mint (1732-1796)
Ritz|Swiss hotelier who created a chain of elegant hotels (1850-1918)
Rivera|socialist Mexican painter of murals (1886-1957)
Robbins|United States choreographer who brought human emotion to classical ballet and spirited reality to Broadway musicals (1918-1998)
Robert|United States parliamentary authority and author (in 1876) of Robert's Rules of Order (1837-1923)
Roberts|a Welsh pirate credited with having taken more than 400 ships (1682-1722)
Roberts|United States writer remembered for his historical novels about colonial America (1885-1957)
Roberts|United States evangelist (born 1918)
Roberts|United States biochemist (born in England) honored for his discovery that some genes contain introns (born in 1943)
Robertson|United States basketball guard (born in 1938)
Robeson|United States bass singer and an outspoken critic of racism and proponent of socialism (1898-1976)
Robespierre|French revolutionary; leader of the Jacobins and architect of the Reign of Terror; was himself executed in a coup d'etat (1758-1794)
Robinson|United States film actor noted for playing gangster roles (1893-1973)
Robinson|United States poet; author of narrative verse (1869-1935)
Robinson|United States baseball player; first Black to play in the major leagues (1919-1972)
Robinson|United States historian who stressed the importance of intellectual and social events for the course of history (1863-1936)
Robinson|Irish playwright and theater manager in Dublin (1886-1958)
Robinson|United States prizefighter who won the world middleweight championship five times and the world welterweight championship once (1921-1989)
